product_name,retail_price,per_from_retail,wholesale_price,brand,category,sub_category
BRILLIANT WHITE 1L LUXURY SHIELD 9102A,2582.7237400958,0.7039664317360657,2099.3661626110597,Causeway Paints,Paints,Shield Paint
BRILLIANT WHITE 1L LUXURY GLO 9102A,1774.6449698509996,0.8091439092355902,1119.8622047736071,Causeway Paints,Paints,Interior Paint
RED FLOOR PAINT QD02 1L KENLUX,6222.732097225641,0.6357197058560966,2271.374277873767,Causeway Paints,Paints,Floor Paint
BROWN ANTICORROSIVE AC06 1L KENLUX,3737.057626112395,0.7395971319641504,1898.6268446318272,Causeway Paints,Paints,Anticorrosive
MAHOGANY ENAMEL 1509 1L KENLUX,4034.8734291393107,0.6247335609545369,3476.0191726457956,Causeway Paints,Paints,Enamel Paint
"4"" CLASSIC PAINT BRUSH HARRIS",2131.853885877863,0.7301304789895809,1594.6598414460354,Harris,Paints,Paint Brush
PAINT REMOVER 190ML,364.30151042337843,0.620707473406938,183.38327210977815,Sayerlack,Paints,Wood Preservative
W/B WOOD PUTTY 17 TEAK 250G JAT,323.3371618560608,0.5853535828243254,449.10804496171636,JAT,Paints,Wood Putty
WOOD LACQUER SATIN 1L F5588 SUNNY,4273.763734638368,0.7475999200675958,2383.0868942750712,Causeway Paints,Paints,Wood Lacquer & Varnish
BLACK BOARD PAINT BLACK 1L KENLUX,3096.3043190685466,0.7459738379663756,2273.5145691054377,Causeway Paints,Paints,Black Board & Paints
DARK GREEN 12 S/P TOA,1449.586501617845,0.641591245575662,1628.3188936129345,TOA,Paints,Toa Spray Paints
FLOOR POLISH RED 400G ROYAL,1510.6233217305903,0.7205891412366445,796.404950408127,ROYAL,Paints,Floor Polish
171 UNIVERSAL THINNER 1L CAUSEWAY,3311.4405514385617,0.6450591930606888,1274.7074279206556,Causeway Paints,Paints,Thinner
WALL FILLER LUXURY 1L CAUSEWAY,904.7769352024103,0.5721930372347201,387.6678440072074,Causeway Paints,Paints,Wall Filler & Putty
"3"" SCRAPER RHP",219.93089712820773,0.6078579224385643,168.12004233632118,AMT,Paints,Paints Preparation
ZINC PHOSPHATE QD PRIMER BLACK 1L,2991.4671992567255,0.7850785511315913,2488.633468665791,Causeway Paints,Paints,Decorative Paints
SPRAY GUN F75G 1.3MM / 1.4MM VOYLET,8600.703253379354,0.8025095038416268,3523.0015639680214,VOYLET,Paints,Paint Accessories
ICI GENERAL PURPOSE STOPER 1.5KG,10152.899317617033,0.7657016076035774,3404.840219535387,Dulux,Paints,Auto Paint
BLUE NAX SUPER HIGH PERFORMANCE CLEAR (4:1) 1L…,1815.7339548602783,0.6689128112057299,1486.4066464188707,Nippon,Paints,Auto Primer
SF SUPIRI METAL FILLER & HARDENER 450G,498.1264666818467,0.6512667705841572,643.3033058974406,SF SUPIRI,Paints,Auto Filler
BRILLIANT WHITE 101A (AUTO/SUNNY) 500ML,2609.975951007806,0.5810617293891166,948.7608684764871,Causeway Paints,Paints,Solid Colors
CHINESE LACQUER 100ML DELTEX,115.51407283493322,0.7284437893967396,67.1945888809101,Deltex,Paints,Chinese Lacquer
