product_name,retail_price,per_from_retail,wholesale_price,brand,category,sub_category
BRILLIANT WHITE 1L LUXURY SHIELD 9102A,2415,0.7039664317360657,1811,Causeway Paints,Paints,Shield Paint
BRILLIANT WHITE 1L LUXURY GLO 9102A,2025,0.8091439092355902,1519,Causeway Paints,Paints,Interior Paint
RED FLOOR PAINT QD02 1L KENLUX,4540,0.6357197058560966,3042,Causeway Paints,Paints,Floor Paint
BROWN ANTICORROSIVE AC06 1L KENLUX,3050,0.7395971319641504,2044,Causeway Paints,Paints,Anticorrosive
MAHOGANY ENAMEL 1509 1L KENLUX,3740,0.6247335609545369,2506,Causeway Paints,Paints,Enamel Paint
"4"" CLASSIC PAINT BRUSH HARRIS",1718,0.7301304789895809,1151,Harris,Paints,Paint Brush
PAINT REMOVER 190ML,420,0.620707473406938,281,Sayerlack,Paints,Wood Preservative
W/B WOOD PUTTY 17 TEAK 250G JAT,623,0.5853535828243254,417,JAT,Paints,Wood Putty
WOOD LACQUER SATIN 1L F5588 SUNNY,4770,0.7475999200675958,3577,Causeway Paints,Paints,Wood Lacquer & Varnish
BLACK BOARD PAINT BLACK 1L KENLUX,3630,0.7459738379663756,2723,Causeway Paints,Paints,Black Board & Paints
DARK GREEN 12 S/P TOA,1700,0.641591245575662,1139,TOA,Paints,Toa Spray Paints
FLOOR POLISH RED 400G ROYAL,1116,0.7205891412366445,748,ROYAL,Paints,Floor Polish
171 UNIVERSAL THINNER 1L CAUSEWAY,2900,0.6450591930606888,1943,Causeway Paints,Paints,Thinner
WALL FILLER LUXURY 1L CAUSEWAY,725,0.5721930372347201,486,Causeway Paints,Paints,Wall Filler & Putty
"3"" SCRAPER RHP",345,0.6078579224385643,231,AMT,Paints,Paints Preparation
ZINC PHOSPHATE QD PRIMER BLACK 1L,3950,0.7850785511315913,2962,Causeway Paints,Paints,Decorative Paints
SPRAY GUN F75G 1.3MM / 1.4MM VOYLET,7800,0.8025095038416268,5850,VOYLET,Paints,Paint Accessories
ICI GENERAL PURPOSE STOPER 1.5KG,8866,0.7657016076035774,6650,Dulux,Paints,Auto Paint
BLUE NAX SUPER HIGH PERFORMANCE CLEAR (4:1) 1L…,2050,0.6689128112057299,1538,Nippon,Paints,Auto Primer
SF SUPIRI METAL FILLER & HARDENER 450G,900,0.6512667705841572,603,SF SUPIRI,Paints,Auto Filler
BRILLIANT WHITE 101A (AUTO/SUNNY) 500ML,2050,0.5810617293891166,1373,Causeway Paints,Paints,Solid Colors
CHINESE LACQUER 100ML DELTEX,145,0.7284437893967396,98,Deltex,Paints,Chinese Lacquer
BRILLIANT WHITE 1L LUXURY SHIELD 9102A,1884,0.8025984065577385,1412,Causeway Paints,Paints,Shield Paint
BRILLIANT WHITE 1L LUXURY GLO 9102A,1580,0.679790526032401,1185,Causeway Paints,Paints,Interior Paint
RED FLOOR PAINT QD02 1L KENLUX,3541,0.7702307236089565,2656,Causeway Paints,Paints,Floor Paint
